# timestamp x y z qx qy qz qw num_features num_matches num_inliers
1336387006.083935022 -3.13989 3.58133 0.231607 0.0774155 0.0353656 -0.744982 0.661633 736 214 203
1336387006.183171988 -3.15359 3.58386 0.233481 0.0781387 0.0382802 -0.745387 0.660929 731 190 184
1336387006.282408953 -3.16823 3.5854 0.235017 0.0786488 0.040564 -0.745931 0.660118 695 181 174
1336387006.381644964 -3.18938 3.58629 0.238631 0.0777236 0.0436641 -0.746569 0.659308 699 185 176
1336387006.480881929 -3.20316 3.58828 0.238469 0.0788223 0.0441013 -0.7475 0.658093 663 171 164
1336387006.580119848 -3.21869 3.59108 0.240134 0.0798596 0.0447083 -0.748372 0.656935 621 156 149
1336387006.679357052 -3.24762 3.59305 0.244999 0.0770114 0.0475365 -0.749933 0.655294 609 156 147
1336387006.778592825 -3.27296 3.59814 0.250205 0.0754983 0.0496655 -0.751515 0.653497 550 121 118
1336387006.877830029 -3.27841 3.60332 0.248377 0.0787704 0.0467117 -0.752791 0.651858 517 136 128
1336387006.977066994 -3.29259 3.60834 0.250597 0.0794318 0.0455137 -0.754202 0.65023 451 125 117
1336387007.076303959 -3.31516 3.61285 0.255435 0.0772362 0.0458163 -0.755718 0.64871 444 111 102
1336387007.175540924 -3.31551 3.61936 0.254483 0.0804177 0.0413592 -0.757065 0.647051 409 89 79
1336387007.274652958 -3.32667 3.62687 0.257773 0.0804766 0.0398279 -0.758212 0.645795 363 87 77
1336387007.373890877 -3.33832 3.63223 0.260657 0.0794472 0.0380471 -0.759362 0.644679 350 76 70
1336387007.473126888 -3.35524 3.63993 0.266167 0.0767595 0.0381338 -0.760677 0.643447 333 65 61
1336387007.572363853 -3.35868 3.64575 0.266821 0.0766737 0.0351766 -0.761592 0.642543 314 66 61
1336387007.671601057 -3.37433 3.65374 0.275138 0.0730243 0.0361642 -0.762846 0.641425 298 65 55
1336387007.770838022 -3.38736 3.65759 0.280372 0.069057 0.0362908 -0.763618 0.640938 266 58 54
1336387007.870074987 -3.38002 3.66278 0.278554 0.0699473 0.0326144 -0.764462 0.640033 284 55 48
1336387007.969311953 -3.41359 3.66827 0.293511 0.0596932 0.0399466 -0.765479 0.639439 296 73 64
1336387008.068548918 -3.41111 3.6713 0.293173 0.0586203 0.0387135 -0.765955 0.639044 280 65 59
1336387008.167785883 -3.4078 3.6733 0.293413 0.0572962 0.0381954 -0.766364 0.638705 301 60 56
1336387008.267022848 -3.36875 3.66762 0.279428 0.064271 0.0285905 -0.765783 0.639241 279 54 50
1336387008.366258860 -3.38982 3.67555 0.290798 0.0573186 0.0370087 -0.766849 0.638191 283 67 63
1336387008.465495825 -3.38085 3.67222 0.287722 0.0566777 0.0364686 -0.767176 0.637886 313 72 68
1336387008.564733028 -3.36773 3.66726 0.283602 0.0571375 0.0354134 -0.76719 0.637887 333 77 68
1336387008.663970947 -3.354 3.66569 0.280149 0.0586882 0.0354534 -0.767435 0.63745 343 80 76
1336387008.763207912 -3.33541 3.66201 0.273887 0.0615338 0.0344184 -0.767563 0.637083 376 104 96
1336387008.862445831 -3.33217 3.66162 0.274282 0.0615538 0.0378701 -0.767777 0.636628 407 99 90
1336387008.961681843 -3.33 3.65623 0.274602 0.0610147 0.0404178 -0.767596 0.636742 407 106 97
1336387009.060919046 -3.32445 3.64993 0.272903 0.0617879 0.0419626 -0.767083 0.637185 416 97 88
1336387009.160155058 -3.32027 3.64745 0.272921 0.0633124 0.044311 -0.766671 0.637373 431 112 99
1336387009.259392023 -3.3179 3.64246 0.272758 0.0645246 0.0462058 -0.766012 0.637909 444 109 98
1336387009.358628988 -3.3127 3.63782 0.272453 0.0665586 0.0472726 -0.765303 0.638473 441 113 103
1336387009.457865000 -3.31792 3.63423 0.276879 0.0661654 0.0507142 -0.764767 0.638891 443 111 98
1336387009.557102919 -3.31674 3.62884 0.277816 0.0675003 0.0517112 -0.763892 0.639718 450 116 106
1336387009.656339884 -3.31113 3.62464 0.27766 0.0699036 0.0516439 -0.763024 0.6405 462 118 106
1336387009.755578041 -3.31591 3.62296 0.282364 0.0700604 0.0540314 -0.762524 0.640882 453 117 109
1336387009.854814053 -3.30963 3.61606 0.28151 0.072261 0.0522447 -0.761348 0.642183 435 115 104
1336387009.954049826 -3.31606 3.61319 0.285787 0.071929 0.0536649 -0.760634 0.642948 456 111 103
1336387010.053287983 -3.3132 3.61013 0.286762 0.0735224 0.0524519 -0.759938 0.64369 443 102 96
1336387010.152524948 -3.30432 3.60911 0.284543 0.0768965 0.0496172 -0.759558 0.64397 418 96 93
1336387010.251761913 -3.30752 3.61093 0.288336 0.0773474 0.0499363 -0.759568 0.643879 412 97 90
1336387010.350997925 -3.31476 3.61442 0.293089 0.0765417 0.0510724 -0.760451 0.642843 406 108 100
1336387010.450234890 -3.31436 3.6147 0.292997 0.0768881 0.0490994 -0.7611 0.642187 405 85 80
1336387010.549471855 -3.32382 3.61693 0.29569 0.0746489 0.0492175 -0.76241 0.640887 401 102 93
1336387010.648710012 -3.32829 3.62145 0.297917 0.0739156 0.0485329 -0.763927 0.639216 391 87 76
1336387010.747946978 -3.3317 3.62811 0.300648 0.0737462 0.0478214 -0.765397 0.637528 382 80 74
1336387010.847183943 -3.33895 3.63375 0.302831 0.0720249 0.0471443 -0.767378 0.63539 350 81 80
1336387010.946419954 -3.34244 3.63917 0.302983 0.0711996 0.0452088 -0.769387 0.633191 325 84 75
1336387011.045656919 -3.35471 3.64838 0.30739 0.0685107 0.04604 -0.771723 0.63058 318 71 67
1336387011.144893885 -3.36011 3.65989 0.31044 0.068042 0.0458599 -0.774164 0.627644 318 76 67
1336387011.244130850 -3.3598 3.6684 0.308963 0.068381 0.0433653 -0.776662 0.624691 275 72 64
1336387011.343366861 -3.37242 3.67836 0.312364 0.0654692 0.0442691 -0.77943 0.621485 310 66 59
